HaloId,GrpId,Timestep,NowGroup,HaloMass,TotalParticles,TotalDarkParticles,MassRatio,Prog
9808,28,13,3,7155574825,9669,5561,-1,0
13238,60,13,3,4369765171,5402,3492,-1,0
24916,9,14,3,13372255294,18730,10271,-1,1
74805,13,14,3,8926206736,11361,7093,-1,0
25545,29,14,3,4136947666,5155,3310,-1,0
43956,4,1,4,3.07181E+11,755777,226064,-1,1
30440,3,2,4,3.20144E+11,779954,235125,-1,1
61087,3,3,4,2.6451E+11,655161,195608,13.78186901,1
68323,35,3,4,19192576969,38349,13121,13.78186901,0
33595,3,4,4,2.21384E+11,567291,163217,-1,1
53855,24,4,4,29053137751,48779,20842,-1,0
70212,3,5,4,1.99521E+11,508896,146837,-1,1
49130,22,5,4,27876862218,45489,20174,-1,0
14395,3,6,4,1.76174E+11,438818,130648,35.19617294,1
56104,37,6,4,17776661810,30400,12663,-1,0
34177,64,6,4,5005485411,17657,2826,35.19617294,0
2289,3,7,4,1.10851E+11,277273,81694,5.169470586,1
56166,24,7,4,21443344545,47906,14406,5.169470586,0
38662,47,7,4,14496678710,23642,10485,-1,0
26181,3,8,4,77175834674,192077,55440,-1,1
6909,16,8,4,34840279074,61585,25367,-1,0
20089,50,8,4,11819818812,18967,8565,-1,0
73374,4,9,4,71592367150,147162,51888,-1,1
19031,14,9,4,34577305484,57339,25566,-1,0
47859,55,9,4,9101671856,14323,6652,-1,0
41512,4,10,4,70714557573,124969,52265,-1,1
36205,13,10,4,30530963348,48294,22808,-1,0
77663,4,11,4,62890329973,100492,46742,-1,1
26180,11,11,4,26609078230,41079,19935,-1,0
50549,4,12,4,50380347037,77514,37479,-1,1
62915,13,12,4,22177967628,34141,16582,-1,0
11029,16,13,4,10896925365,15745,8312,-1,0
27445,18,13,4,9745837949,14529,7288,1.755663881,1
11302,34,13,4,5551084155,8362,4149,1.755663881,0
71556,14,14,4,7230917402,10005,5578,-1,0
17372,14,15,4,4589499879,6172,3562,-1,0
40523,5,1,5,1.605E+11,492302,117308,-1,1
65597,5,2,5,1.59896E+11,487449,116915,-1,1
46246,5,3,5,1.58842E+11,451506,116746,-1,1
22858,5,4,5,1.53612E+11,400451,113133,-1,1
33467,4,5,5,1.43635E+11,330486,105504,-1,1
61818,4,6,5,1.18536E+11,266205,86603,11.26401081,1
2459,59,6,5,10523441715,20758,7435,11.26401081,0
6892,6,7,5,93337164628,190859,67727,-1,1
36365,41,7,5,16188922829,27476,11827,-1,0
41908,5,8,5,84721265076,161351,61855,-1,1
32979,39,8,5,15470907473,25709,11394,-1,0
69544,5,9,5,74995467391,134079,55039,-1,1
21853,37,9,5,15006299510,24326,11059,-1,0
55453,5,10,5,62225855790,107054,45672,-1,1
42747,33,10,5,14696234312,22875,10995,-1,0
167,5,11,5,52417791973,87517,38543,-1,1
5835,28,11,5,14460625805,22071,10871,-1,0
25174,5,12,5,35361373812,59810,25781,6.862623839,1
20940,25,12,5,13010098117,19621,9778,-1,0
44140,63,12,5,5152748371,8561,3725,6.862623839,0
8905,8,13,5,22972249334,34859,17260,-1,1
41928,57,13,5,3716166120,5565,2782,-1,0
30608,12,14,5,9276299787,13383,7051,-1,1
14380,11,15,5,5047442771,6857,3935,-1,1
63269,10,16,5,4012698277,5408,3115,-1,1
75996,6,1,6,1.72172E+11,470125,125363,-1,1
48936,6,2,6,1.62792E+11,447036,119145,19.53944823,1
31791,69,2,6,8331476332,18172,5551,19.53944823,0
63484,6,3,6,1.4394E+11,400479,105011,-1,1
38640,45,3,6,17613047163,30952,12574,-1,0
45703,6,4,6,1.34516E+11,365860,97798,-1,1
76808,44,4,6,17835695662,30638,12790,-1,0
8617,7,5,6,1.01955E+11,261928,74527,-1,1
50643,47,5,6,16745656194,28344,12042,-1,0
37166,5,6,6,95212338430,259576,68510,-1,1
46770,46,6,6,15112684340,25523,10846,-1,0
47793,4,7,6,79471452542,211844,57050,4.083933203,1
6084,32,7,6,19459537800,34692,13925,4.083933203,0
73585,53,7,6,12584115422,21028,9014,-1,0
846,4,8,6,74897830424,186035,53878,-1,1
44593,31,8,6,19289205163,33475,13866,-1,0
58295,49,8,6,13087288502,19955,9749,-1,0
8928,3,9,6,71903889766,160666,52126,-1,1
75777,27,9,6,19055489059,31568,13841,-1,0
51206,49,9,6,12998132856,18219,9980,-1,0
60399,3,10,6,68679721390,140399,50253,-1,1
17452,28,10,6,16658147950,27032,12141,-1,0
80008,49,10,6,11343536404,15202,8847,-1,0
47784,3,11,6,62560637954,119766,45911,-1,1
4222,25,11,6,14153903672,22457,10380,-1,0
