NowGroup,NowHalo,CurrentTime,CurrentGrp,CurrentHalo,NextGrp,NextHalo,SharedParticleCount,SharedDarkParticleCount
36,7650,10,37,60093,37,31758,13496,7153
36,7650,11,37,31758,53,42151,9701,5061
36,7650,12,53,42151,53,4038,5218,3331
162,7826,1,162,7826,162,61973,4857,3269
162,7826,2,162,61973,167,1473,4515,3022
162,7826,3,167,1473,177,7341,4285,2828
162,7826,4,177,7341,178,16913,4100,2662
171,8029,1,171,8029,169,25882,4378,2632
171,8029,2,169,25882,98,70817,4308,2710
171,8029,3,98,70817,78,47021,8798,3816
171,8029,4,78,47021,73,45798,12497,5776
194,8057,1,194,8057,195,46518,3654,2976
194,8057,2,195,46518,188,48470,3460,2789
194,8057,3,188,48470,188,66476,3609,2868
194,8057,4,188,66476,183,35417,3868,3064
65,8822,1,65,8822,64,53266,17488,9424
65,8822,2,64,53266,66,64977,15132,8223
65,8822,3,66,64977,67,61524,14375,7559
65,8822,4,67,61524,67,29547,14324,7385
65,8822,5,67,29547,68,20721,13399,6983
65,8822,6,68,20721,77,42872,10185,5154
65,8822,7,77,42872,85,48787,8442,4400
65,8822,8,85,48787,85,79942,7506,4112
65,8822,9,85,79942,86,30254,6856,3889
65,8822,10,86,30254,92,14138,5168,3051
88,8829,1,88,8829,88,70330,11346,6888
88,8829,2,88,70330,91,50429,10270,6262
88,8829,3,91,50429,98,49374,9748,5898
88,8829,4,98,49374,99,39817,9236,5561
88,8829,5,99,39817,100,10436,9000,5449
88,8829,6,100,10436,91,66251,7980,4992
88,8829,7,91,66251,86,59526,7934,4989
88,8829,8,86,59526,87,54474,7215,4486
88,8829,9,87,54474,113,51202,5158,3166
88,8829,10,113,51202,111,25953,4059,2707
91,9271,1,91,9271,91,37952,9881,4735
91,9271,2,91,37952,96,33935,8572,4335
91,9271,3,96,33935,110,19967,7474,3855
91,9271,4,110,19967,140,78316,6001,3322
91,9271,5,140,78316,147,63192,5282,3078
91,9271,6,147,63192,170,12780,4066,2578
168,9761,1,168,9761,168,34238,4522,3264
168,9761,2,168,34238,175,64260,4157,3002
168,9761,3,175,64260,174,3849,4082,2892
168,9761,4,174,3849,173,30625,4068,2796
94,10829,1,94,10829,95,33850,8803,6419
94,10829,2,95,33850,97,14334,7988,5831
94,10829,3,97,14334,107,59091,7221,5231
94,10829,4,107,59091,126,72208,6150,4358
94,10829,5,126,72208,139,982,5736,3934
94,10829,6,139,982,130,65353,4830,3332
94,10829,7,130,65353,122,8349,5329,3170
94,10829,8,122,8349,124,46873,5122,3020
94,10829,9,124,46873,124,20077,4341,2605
73,11055,1,73,11055,73,77077,14399,9738
73,11055,2,73,77077,80,56515,12479,8454
73,11055,3,80,56515,92,65239,10904,7295
73,11055,4,92,65239,95,18765,9879,6671
73,11055,5,95,18765,102,19319,7306,5014
73,11055,6,102,19319,167,12433,4245,2747
73,11055,7,167,12433,150,2820,3903,2530
73,11055,8,150,2820,121,38711,4218,2684
73,11055,9,121,38711,129,61945,4523,3002
73,11055,10,129,61945,147,23526,3596,2505
173,11063,1,173,11063,172,23226,4351,2627
173,11063,2,172,23226,164,19387,4171,2486
173,11063,3,164,19387,165,67462,4465,2445
11,11329,1,11,11329,11,16605,175689,71111
11,11329,2,11,16605,10,7128,158084,65608
11,11329,3,10,7128,48,16682,26059,7900
11,11329,3,10,7128,109,43354,8255,2534
11,11329,3,10,7128,15,73862,87305,36773
11,11329,4,109,43354,97,27474,6006,2202
11,11329,4,15,73862,13,10500,35530,17614
11,11329,4,15,73862,38,22004,35852,12523
11,11329,5,13,10500,17,38476,70804,33076
11,11329,5,38,22004,30,65780,34227,12454
11,11329,5,97,27474,111,50642,5953,2499
11,11329,6,17,38476,27,55233,37796,17267
11,11329,6,17,38476,62,60788,10284,3775
11,11329,6,30,65780,29,7689,33413,13529
11,11329,7,29,7689,32,33253,30762,13581
