nowGroup,grpID,timeStep,mass,totalParticles,HI,prog,massRatio
31077,29263,2,2712583.506,8,0,0,-1
31077,26057,6,4407948.198,13,0,0,-1
31077,15192,6,2712583.506,8,0,0,-1
31077,29998,4,3729802.321,11,0,0,-1
31077,15025,7,3051656.444,9,0,0,-1
31077,29922,4,2373510.568,7,0,0,-1
31077,25523,6,2373510.568,7,0,0,-1
31077,15376,6,8137750.519,24,0,0,-1
31077,30088,4,3390729.383,10,0,0,-1
31077,25696,6,6103312.889,18,0,0,-1
31077,30345,3,1017218.815,3,0,0,-1
31077,41946,5,7459604.642,22,0,0,-1
31077,29273,2,2.31E+07,68,0,0,-1
31077,29827,4,8.43E+08,2561,27.88917294,0,-1
31077,29822,4,3.51E+07,106,0,0,-1
31077,15328,6,1.50E+07,45,0,0,-1
31077,41921,5,2373510.568,7,0,0,-1
31077,29941,4,1017218.815,3,0,0,-1
31077,30363,3,3390729.383,10,0,0,-1
31077,29951,4,2712583.506,8,0,0,-1
31077,42060,5,339072.9383,1,0,0,-1
31077,29518,2,2712583.506,8,0,0,-1
31077,14834,7,1695364.691,5,0,0,-1
31077,15147,7,5764239.951,17,0,0,-1
31077,18570,6,3729802.321,11,0,0,-1
31077,30313,3,1356291.753,4,0,0,-1
31077,15251,7,1356291.753,4,0,0,-1
31077,36139,4,5764239.951,17,0,0,-1
31077,30091,4,1229304.13,4,0.01065842,0,-1
31077,30354,3,2712583.506,8,0,0,-1
31077,54304,5,339072.9383,1,0,0,-1
31077,24286,7,3729802.321,11,0,0,-1
31077,15351,6,4449476.277,14,0,0,-1
31077,29448,2,1695364.691,5,0,0,-1
31077,29384,2,4068875.259,12,0,0,-1
31077,29921,4,3051656.444,9,0,0,-1
31077,15268,6,2034437.63,6,0,0,-1
31077,30057,4,4068875.259,12,0,0,-1
31077,29965,4,1356291.753,4,0,0,-1
31077,45356,5,6.81E+07,208,1.988446448,0,-1
31077,33459,2,1017218.815,3,0,0,-1
31077,29869,4,2712583.506,8,0,0,-1
31077,30409,3,2034437.63,6,0,0,-1
31077,15385,6,6.93E+07,208,0,0,-1
31077,15107,7,1695364.691,5,0,0,-1
31077,29214,2,3729802.321,11,0,0,-1
31077,29278,2,339072.9383,1,0,0,-1
31077,29264,2,2712583.506,8,0,0,-1
31077,29846,4,3051656.444,9,0,0,-1
31077,30034,4,678145.8766,2,0,0,-1
31077,29935,4,9494042.272,28,0,0,-1
31077,27275,7,1.56E+07,46,0,0,-1
31077,15282,6,8137750.519,24,0,0,-1
31077,30018,4,5.91E+08,1815,13.80562046,0,-1
